"Location","Activity ID","Activity Name","Start Date","Finish Date","Duration"
"MYD","PRO-024031","MYD2-Lead MCP-11","2025-08-14","2026-01-05","776"
"MYD","PRO-019352","MYD1-Deliver-Zilla RMU/USSs-","2025-08-14","2025-10-09","312"
"SSS","PRO-029358","Deliver-Critical EY02 RMU/USSs","2025-08-14","2025-08-15","8"
"Conveyance","PCN-1230","Offsite Pre-Fabrication Labor (S10)-Zilla Conveyance","2025-08-14","2025-08-20","32"
"Conveyance","PCN-1245","Offsite Pre-Fabrication Labor (S14)-Conveyance","2025-08-14","2025-08-25","56"
"GPS","PCN-1235","Offsite Pre-Fabrication Labor (S17)-SSS/GPS/USS","2025-08-14","2025-08-25","56"
"Conveyance","PCN-1240","Offsite Pre-Fabrication Labor (S18)-USS Secondary Conveyance","2025-08-14","2025-09-02","96"
"MYD","PRO-019353","MYD1-Deliver-Critical LV TX/USSs-** OFE Tracker 8/11/2025**","2025-08-14","2025-08-15","8"
"EYD","PRO-029360","EYD2-Deliver-Critical LV SWGR/USSs","2025-08-14","2025-08-15","8"
"EYD","CON-3265","EYD1-GEN SOG Bulletin 16 (1-4)","2025-08-14","2025-08-14","120"
"EYD","CON-3720","EYD1-GEN SOG Bulletin 16 (5-9)","2025-08-14","2025-08-20","32"
"MYD","CON-7800","MYD2-FRP USS Pads Group 22","2025-08-14","2025-09-02","96"
"DCH","CON-2915","EYD2-DCH2-Ext.Vertical Joint Caulking-North","2025-08-14","2025-08-14","40"
"DCH","CON-8235","DCH2-Install/Terminate Security Devices/IDFs,Pull Cable/Terminate Panel","2025-08-14","2025-09-19","200"
"MYD","PCN-1210","MYD-Fire Pump House (FPH)","2025-08-14","2025-11-07","480"
"EYD","CON-6155","EYD1-MV Trench Seq.10.6 USS","2025-08-14","2025-08-14","64"
"MYD","CON-7190","MYD1-MV Trench Seq.4.5-USS","2025-08-14","2025-09-08","128"
"EYD","CX-10062","EYD1-BDC/DCP/DCOP Energization","2025-08-14","2025-08-18","16"
"MYD","CON-113765","MYD2-FRP S25 Foundations","2025-08-14","2025-08-21","56"
"MYD","CON-114065","MYD2-PCW UG Piping-MCP-07","2025-08-14","2025-08-20","32"
"MYD","CON-114495","MYD2-PCW UG Piping-MCP-11","2025-08-14","2025-08-19","24"
"DCH","348538781","DCH1-East Wall-S27 Modules","2025-08-14","2025-08-21","40"
"DCH","404448538","DCH2-West Wall-Paint Wall","2025-08-14","2025-08-20","32"
"DCH","938481068","DCH2-Overhead Fire Suppression-Area L","2025-08-14","2025-08-22","48"
"MYD","PRO-306027","MYD2-Lead MCP-09","2025-08-14","2025-12-23","720"
"MYD","PRO-306032","MYD2-Lead MCP-07","2025-08-14","2025-12-16","680"
"MYD","PCN-0095","???-MYD-Domestic Booster Water Pump House (Redundant of PCN-0090)","2025-08-14","2025-10-10","320"
"EYD","PCN-0105","EYD-Storm Shelter","2025-08-14","2025-10-10","320"
"MYD","PCN-0110","MYD-Storm Shelter","2025-08-14","2025-09-26","240"
"MYD","PCN-0115","MYD-Exterior Bathroom Bldg","2025-08-14","2025-10-10","320"
"MYD","PCN-0120","MYD-Chemical Treatment Building (CTB)","2025-08-14","2025-10-10","320"
"MYD","PCN-0125","MYD-Make Up Pumphouse (MUP)","2025-08-14","2025-10-10","320"
"EYD","CN-F-Z01.EYD.S14.LB.0022","Place-Anchor & Ground EY05-Load Bank in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.XFMR-E.023","Place,Anchor & Ground EY05-XFMR-E in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.XFMR-F.024","Place,Anchor & Ground EY05-XFMR-F in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-E.025","Ground EY05-SWGR-RMU-MDA-E in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-E.026","Ground EY05-XFMR-USS-MDA-E in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-E.027","Ground EY05-SWGR-USS-MDA-E in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-F.028","Ground EY05-SWGR-RMU-MDA-F in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-F.029","Ground EY05-XFMR-USS-MDA-F in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-F.030","Ground EY05-SWGR-USS-MDA-F in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-1.031","Ground EY05-SWGR-RMU-1 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-1.032","Ground EY05-XFMR-USS-1 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-1.033","Ground EY05-SWGR-USS-1 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-2.034","Ground EY05-SWGR-RMU-2 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-2.035","Ground EY05-XFMR-USS-2 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-2.036","Ground EY05-SWGR-USS-2 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-3.037","Ground EY05-SWGR-RMU-3 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-3.038","Ground EY05-XFMR-USS-3 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-3.039","Ground EY05-SWGR-USS-3 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-4.040","Ground EY05-SWGR-RMU-4 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-4.041","Ground EY05-XFMR-USS-4 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-4.042","Ground EY05-SWGR-USS-4 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-5.043","Ground EY05-SWGR-RMU-5 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-5.044","Ground EY05-XFMR-USS-5 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-5.045","Ground EY05-SWGR-USS-5 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-6.046","Ground EY05-SWGR-RMU-6 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-6.047","Ground EY05-XFMR-USS-6 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-6.048","Ground EY05-SWGR-USS-6 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-7.049","Ground EY05-SWGR-RMU-7 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-7.050","Ground EY05-XFMR-USS-7 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-7.051","Ground EY05-SWGR-USS-7 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-8.052","Ground EY05-SWGR-RMU-8 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-8.053","Ground EY05-XFMR-USS-8 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-8.054","Ground EY05-SWGR-USS-8 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-9.055","Ground EY05-SWGR-RMU-9 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-9.056","Ground EY05-XFMR-USS-9 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-9.057","Ground EY05-SWGR-USS-9 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-10.058","Ground EY05-SWGR-RMU-10 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-10.059","Ground EY05-XFMR-USS-10 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-10.060","Ground EY05-SWGR-USS-10 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-11.061","Ground EY05-SWGR-RMU-11 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-11.062","Ground EY05-XFMR-USS-11 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-11.063","Ground EY05-SWGR-USS-11 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-12.065","Ground EY05-XFMR-USS-12 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-12.066","Ground EY05-SWGR-USS-12 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-13.067","Ground EY05-SWGR-RMU-13 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-13.068","Ground EY05-XFMR-USS-13 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-13.069","Ground EY05-SWGR-USS-13 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-14.070","Ground EY05-SWGR-RMU-14 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-14.071","Ground EY05-XFMR-USS-14 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-14.072","Ground EY05-SWGR-USS-14 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-15.073","Ground EY05-SWGR-RMU-15 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-15.074","Ground EY05-XFMR-USS-15 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-15.075","Ground EY05-SWGR-USS-15 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-16.076","Ground EY05-SWGR-RMU-16 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-16.077","Ground EY05-XFMR-USS-16 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-16.078","Ground EY05-SWGR-USS-16 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-17.079","Ground EY05-SWGR-RMU-17 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-17.080","Ground EY05-XFMR-USS-17 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-17.081","Ground EY05-SWGR-USS-17 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-18.082","Ground EY05-SWGR-RMU-18 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-18.083","Ground EY05-XFMR-USS-18 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-18.084","Ground EY05-SWGR-USS-18 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-19.085","Ground EY05-SWGR-RMU-19 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-19.086","Ground EY05-XFMR-USS-19 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-19.087","Ground EY05-SWGR-USS-19 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-20.088","Ground EY05-SWGR-RMU-20 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-20.089","Ground EY05-XFMR-USS-20 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-20.090","Ground EY05-SWGR-USS-20 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-21.091","Ground EY05-SWGR-RMU-21 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-21.092","Ground EY05-XFMR-USS-21 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-21.093","Ground EY05-SWGR-USS-21 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-22.094","Ground EY05-SWGR-RMU-22 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-22.095","Ground EY05-XFMR-USS-22 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-22.096","Ground EY05-SWGR-USS-22 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-23.097","Ground EY05-SWGR-RMU-23 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-23.098","Ground EY05-XFMR-USS-23 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-23.099","Ground EY05-SWGR-USS-23 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-24.100","Ground EY05-SWGR-RMU-24 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-24.101","Ground EY05-XFMR-USS-24 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-24.102","Ground EY05-SWGR-USS-24 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-25.103","Ground EY05-SWGR-RMU-25 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-25.104","Ground EY05-XFMR-USS-25 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-25.105","Ground EY05-SWGR-USS-25 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-26.106","Ground EY05-SWGR-RMU-26 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-26.107","Ground EY05-XFMR-USS-26 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-26.108","Ground EY05-SWGR-USS-26 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-E.113","Complete Pathway to EY05-SWGR-RMU-MDA-E in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-E.114","Complete Pathway to EY05-XFMR-USS-MDA-E in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-E.115","Complete Pathway to EY05-SWGR-USS-MDA-E in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-F.117","Complete Pathway to EY05-XFMR-USS-MDA-F in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-1.119","Complete Pathway to EY05-SWGR-RMU-1 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-1.120","Complete Pathway to EY05-XFMR-USS-1 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-2.122","Complete Pathway to EY05-SWGR-RMU-2 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-2.123","Complete Pathway to EY05-XFMR-USS-2 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-3.125","Complete Pathway to EY05-SWGR-RMU-3 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-3.126","Complete Pathway to EY05-XFMR-USS-3 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-4.128","Complete Pathway to EY05-SWGR-RMU-4 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-4.129","Complete Pathway to EY05-XFMR-USS-4 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-5.131","Complete Pathway to EY05-SWGR-RMU-5 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-6.134","Complete Pathway to EY05-SWGR-RMU-6 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-7.137","Complete Pathway to EY05-SWGR-RMU-7 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-7.138","Complete Pathway to EY05-XFMR-USS-7 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-8.140","Complete Pathway to EY05-SWGR-RMU-8 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-8.141","Complete Pathway to EY05-XFMR-USS-8 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-10.146","Complete Pathway to EY05-SWGR-RMU-10 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-11.149","Complete Pathway to EY05-SWGR-RMU-11 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-12.152","Complete Pathway to EY05-SWGR-RMU-12 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-13.155","Complete Pathway to EY05-SWGR-RMU-13 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-13.156","Complete Pathway to EY05-XFMR-USS-13 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-14.158","Complete Pathway to EY05-SWGR-RMU-14 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-15.161","Complete Pathway to EY05-SWGR-RMU-15 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-16.164","Complete Pathway to EY05-SWGR-RMU-16 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-17.167","Complete Pathway to EY05-SWGR-RMU-17 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-18.170","Complete Pathway to EY05-SWGR-RMU-18 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-19.173","Complete Pathway to EY05-SWGR-RMU-19 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-19.174","Complete Pathway to EY05-XFMR-USS-19 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-20.176","Complete Pathway to EY05-SWGR-RMU-20 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-20.177","Complete Pathway to EY05-XFMR-USS-20 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-21.179","Complete Pathway to EY05-SWGR-RMU-21 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-22.182","Complete Pathway to EY05-SWGR-RMU-22 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-23.185","Complete Pathway to EY05-SWGR-RMU-23 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-24.188","Complete Pathway to EY05-SWGR-RMU-24 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-25.191","Complete Pathway to EY05-SWGR-RMU-25 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-26.194","Complete Pathway to EY05-SWGR-RMU-26 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-26.195","Complete Pathway to EY05-XFMR-USS-26 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"DCH","CN-F-Z01.DCH.S29.1-500.0002","Install Feeder Hangers in Area 1-500-Zone 1 DCH","2025-08-14","2025-08-21","40"
"DCH","CN-F-Z01.DCH.S29.1-500.0006","Overhead Rough-in Branch Raceway in Area 1-500-Zone 1 DCH","2025-08-14","2025-09-25","320"
"DCH","CN-F-Z01.DCH.S29.1-500.0007","Overhead Rough-in Systems Raceway in Area 1-500-Zone 1 DCH","2025-08-14","2025-09-25","320"
"DCH","CN-F-Z01.DCH.S29.1-500.0011","In-Wall Rough-In Electrical in 1-500-Zone 1 DCH","2025-08-14","2025-09-05","120"
"DCH","CN-F-Z02.DCH.S39.1-550.0009","Overhead Rough-In VESDA Loop S-18 in Room 1-550-Zone 2 DCH","2025-08-14","2025-08-15","8"
"DCH","CN-F-Z01.DCH.S39.1-500.0069","Install Fire Alarm Wall Drops in 1-500-Zone 1 DCH","2025-08-14","2025-08-28","80"
"EYD","CN-F-Z02.EYD.S14.XFMR-E.875","Place-Anchor & Ground EY06-XFMR-E in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.XFMR-F.876","Place,Anchor & Ground EY06-XFMR-F in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-2.882","Ground EY06-SWGR-USS-2 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-3.885","Ground EY06-SWGR-USS-3 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-4.888","Ground EY06-SWGR-USS-4 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-5.891","Ground EY06-SWGR-USS-5 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-6.894","Ground EY06-SWGR-USS-6 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-7.897","Ground EY06-SWGR-USS-7 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-8.900","Ground EY06-SWGR-USS-8 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-9.903","Ground EY06-SWGR-USS-9 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-10.906","Ground EY06-SWGR-USS-10 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-11.909","Ground EY06-SWGR-USS-11 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-12.912","Ground EY06-SWGR-USS-12 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-13.915","Ground EY06-SWGR-USS-13 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-14.918","Ground EY06-SWGR-USS-14 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-15.921","Ground EY06-SWGR-USS-15 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-16.924","Ground EY06-SWGR-USS-16 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-17.927","Ground EY06-SWGR-USS-17 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-18.930","Ground EY06-SWGR-USS-18 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-19.933","Ground EY06-SWGR-USS-19 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-20.936","Ground EY06-SWGR-USS-20 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-21.939","Ground EY06-SWGR-USS-21 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-22.942","Ground EY06-SWGR-USS-22 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-23.945","Ground EY06-SWGR-USS-23 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-24.948","Ground EY06-SWGR-USS-24 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-25.951","Ground EY06-SWGR-USS-25 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"EYD","CN-F-Z02.EYD.S14.USS-26.954","Ground EY06-SWGR-USS-26 in Zone 2 EYD","2025-08-14","2025-08-18","16"
"USS YARD","CN-F-Z01.EYD.S18.HA01.06.0001","Install Cable Tray from Zone 1 USS 1-4 to Rows 1-6","2025-08-14","2025-08-19","24"
"USS YARD","CN-F-Z01.EYD.S18.HA07.12.0001","Install Cable Tray from Zone 1 USS 5-8 to Rows 7-12","2025-08-14","2025-08-19","24"
"EYD","CN-F-Z01.EYD.S29.EYD.0002","Place Grounding Ring in Area Zone 1 EYD RMU USS (1 to 26-Includes MDA's)","2025-08-14","2025-08-21","40"
"DCH","CN-F-Z01.DCH.S29.DCH.0001","Place Grounding Ring in Area Zone 1 DCH","2025-08-14","2025-08-21","40"
"EYD","CN-F-Z01.EYD.S36.TEQP.010","Place-Anchor-Fit-Out & Ground IDF 1.27 in Zone 1 EYD","2025-08-14","2025-08-18","16"
